Port Name,Measure,Year,Month of Date,Value
Eagle Pass,Trucks,2023,February,16071
Eagle Pass,Truck Containers Loaded,2023,February,10518
Eagle Pass,Truck Containers Empty,2023,February,5874
Eagle Pass,Trains,2023,February,220
Eagle Pass,Rail Containers Loaded,2023,February,12013
Eagle Pass,Rail Containers Empty,2023,February,13006
Eagle Pass,Personal Vehicles,2023,February,222638
Eagle Pass,Personal Vehicle Passengers,2023,February,439609
Eagle Pass,Pedestrians,2023,February,39057
Eagle Pass,Buses,2023,February,309
Eagle Pass,Bus Passengers,2023,February,8360
Eagle Pass,Trucks,2023,January,16800
Eagle Pass,Truck Containers Loaded,2023,January,10914
Eagle Pass,Truck Containers Empty,2023,January,6287
Eagle Pass,Trains,2023,January,232
Eagle Pass,Rail Containers Loaded,2023,January,10819
Eagle Pass,Rail Containers Empty,2023,January,14037
Eagle Pass,Personal Vehicles,2023,January,242988
Eagle Pass,Personal Vehicle Passengers,2023,January,510460
Eagle Pass,Pedestrians,2023,January,81749
Eagle Pass,Buses,2023,January,493
Eagle Pass,Bus Passengers,2023,January,18140
El Paso,Trucks,2023,May,10801
El Paso,Truck Containers Loaded,2023,May,4589
El Paso,Truck Containers Empty,2023,May,6327
El Paso,Trains,2023,May,111
El Paso,Rail Containers Loaded,2023,May,2319
El Paso,Rail Containers Empty,2023,May,7486
El Paso,Personal Vehicles,2023,May,735172
El Paso,Personal Vehicle Passengers,2023,May,1248945
El Paso,Pedestrians,2023,May,173120
El Paso,Buses,2023,May,936
El Paso,Bus Passengers,2023,May,16985
El Paso,Trucks,2023,April,6170
El Paso,Truck Containers Loaded,2023,April,2644
El Paso,Truck Containers Empty,2023,April,3610
El Paso,Trains,2023,April,106
El Paso,Rail Containers Loaded,2023,April,1986
El Paso,Rail Containers Empty,2023,April,7061
El Paso,Personal Vehicles,2023,April,692239
El Paso,Personal Vehicle Passengers,2023,April,1199769
El Paso,Pedestrians,2023,April,329232
El Paso,Buses,2023,April,951
El Paso,Bus Passengers,2023,April,17567
El Paso,Trucks,2023,March,4050
El Paso,Truck Containers Loaded,2023,March,1669
El Paso,Truck Containers Empty,2023,March,2417
El Paso,Trains,2023,March,112
El Paso,Rail Containers Loaded,2023,March,1965
El Paso,Rail Containers Empty,2023,March,7788
El Paso,Personal Vehicles,2023,March,746581
El Paso,Personal Vehicle Passengers,2023,March,1256754
El Paso,Pedestrians,2023,March,319564
El Paso,Buses,2023,March,840
El Paso,Bus Passengers,2023,March,111674
El Paso,Trucks,2023,February,3670
El Paso,Truck Containers Loaded,2023,February,1262
El Paso,Truck Containers Empty,2023,February,2444
El Paso,Trains,2023,February,101
El Paso,Rail Containers Loaded,2023,February,2001
El Paso,Rail Containers Empty,2023,February,6838
El Paso,Personal Vehicles,2023,February,660360
El Paso,Personal Vehicle Passengers,2023,February,1107415
El Paso,Pedestrians,2023,February,277874
El Paso,Buses,2023,February,914
El Paso,Bus Passengers,2023,February,14640
El Paso,Trucks,2023,January,3322
El Paso,Truck Containers Loaded,2023,January,1161
El Paso,Truck Containers Empty,2023,January,2200
El Paso,Trains,2023,January,112
El Paso,Train Passengers,2023,January,560
El Paso,Rail Containers Loaded,2023,January,2243
El Paso,Rail Containers Empty,2023,January,7366
El Paso,Personal Vehicles,2023,January,710315
El Paso,Personal Vehicle Passengers,2023,January,1201079
El Paso,Pedestrians,2023,January,300467
El Paso,Buses,2023,January,1220
El Paso,Bus Passengers,2023,January,20497
Hidalgo,Trucks,2023,May,66372
Hidalgo,Truck Containers Loaded,2023,May,44865
Hidalgo,Truck Containers Empty,2023,May,22966
Hidalgo,Personal Vehicles,2023,May,366369
Hidalgo,Personal Vehicle Passengers,2023,May,714274
Hidalgo,Pedestrians,2023,May,344672
Hidalgo,Buses,2023,May,1066
Hidalgo,Bus Passengers,2023,May,376718
Hidalgo,Trucks,2023,April,57309
Hidalgo,Truck Containers Loaded,2023,April,42565
Hidalgo,Truck Containers Empty,2023,April,17457
Hidalgo,Personal Vehicles,2023,April,382831
Hidalgo,Personal Vehicle Passengers,2023,April,804245
Hidalgo,Pedestrians,2023,April,190863
Hidalgo,Buses,2023,April,1094
Hidalgo,Bus Passengers,2023,April,20559
Hidalgo,Trucks,2023,March,66062
Hidalgo,Truck Containers Loaded,2023,March,47235
Hidalgo,Truck Containers Empty,2023,March,19783
Hidalgo,Personal Vehicles,2023,March,392454
Hidalgo,Personal Vehicle Passengers,2023,March,782604
Hidalgo,Pedestrians,2023,March,176426
Hidalgo,Buses,2023,March,1231
Hidalgo,Bus Passengers,2023,March,21692
Hidalgo,Trucks,2023,February,57298
Hidalgo,Truck Containers Loaded,2023,February,41237
Hidalgo,Truck Containers Empty,2023,February,16931
Hidalgo,Personal Vehicles,2023,February,349686
Hidalgo,Personal Vehicle Passengers,2023,February,692700
Hidalgo,Pedestrians,2023,February,163546
Hidalgo,Buses,2023,February,1167
Hidalgo,Bus Passengers,2023,February,13997
Hidalgo,Trucks,2023,January,60882
Hidalgo,Truck Containers Loaded,2023,January,43709
Hidalgo,Truck Containers Empty,2023,January,18069
Hidalgo,Personal Vehicles,2023,January,384335
