COUNTRY,POPULATION
Afghanistan,"35,643,418"
Albania,"2,879,355"
Algeria,"41,136,546"
Angola,"30,208,628"
Antigua and Barbuda,"91,119"
Argentina,"44,054,616"
Armenia,"2,851,923"
Aruba,"105,439"
Australia,"24,590,334"
Austria,"8,797,496"
Azerbaijan,"10,071,567"
Bahamas,"399,020"
Bahrain,"1,456,834"
Bangladesh,"161,793,964"
Barbados,"279,187"
Belarus,"9,707,876"
Belgium,"11,384,490"
Belize,"374,694"
Benin,"11,596,779"
Bhutan,"756,122"
Bolivia,"11,435,534"
Bosnia and Herzegovina,"3,440,027"
Botswana,"2,401,840"
Brazil,"208,504,960"
Brunei Darussalam,"430,277"
Bulgaria,"7,182,429"
Burkina Faso,"19,835,859"
Burundi,"11,155,593"
Cabo Verde,"564,954"
Cambodia,"15,830,689"
Cameroon,"24,393,182"
Canada,"36,554,348"
Central African Republic,"4,996,741"
Chad,"15,085,884"
Chile,"18,368,577"
China,"1,410,275,957"
"China, Hong Kong SAR","7,461,519"
"China, Macao SAR","638,609"
Colombia,"48,351,671"
Comoros,"761,664"
Congo,"5,312,340"
Costa Rica,"4,993,842"
Ivory Coast,"24,848,016"
Croatia,"4,192,467"
Cuba,"11,336,405"
Curaçao,"171,525"
Cyprus,"1,208,523"
Czech Republic,"10,531,305"
DR Congo,"84,283,273"
South Korea,"25,516,322"
Denmark,"5,737,285"
Djibouti,"1,040,233"
Dominican Republic,"10,647,244"
Ecuador,"16,696,944"
Egypt,"101,789,386"
El Salvador,"6,266,655"
Equatorial Guinea,"1,450,694"
Eritrea,"3,396,933"
Estonia,"1,317,549"
Ethiopia,"108,197,950"
Fiji,"919,019"
Finland,"5,508,140"
France,"64,144,087"
French Guiana,"269,353"
French Polynesia,"295,451"
Gabon,"2,140,216"
Gambia,"2,381,182"
Georgia,"3,771,900"
Germany,"82,624,374"
Ghana,"30,222,262"
Greece,"10,692,229"
Grenada,"120,921"
Guadeloupe,"397,022"
Guam,"168,606"
Guatemala,"16,578,723"
Guinea,"12,240,789"
Guinea-Bissau,"1,879,827"
Guyana,"763,252"
Haiti,"10,863,544"
Honduras,"9,626,842"
Hungary,"9,788,941"
Iceland,"343,632"
India,"1,354,195,680"
Indonesia,"264,498,853"
Iran,"84,505,077"
Iraq,"39,621,162"
Ireland,"4,771,854"
Israel,"8,309,257"
Italy,"60,004,032"
Jamaica,"2,808,376"
Japan,"126,662,472"
Jordan,"10,215,382"
Kazakhstan,"18,314,814"
Kenya,"48,948,137"
Kiribati,"120,363"
Kuwait,"4,124,905"
Kyrgyzstan,"6,121,261"
Lao People's Democratic Republic,"6,997,917"
Latvia,"1,954,863"
Lebanon,"6,109,252"
Lesotho,"2,170,617"
Liberia,"4,796,631"
Libya,"6,378,262"
Lithuania,"2,904,450"
Luxembourg,"596,283"
Madagascar,"26,169,542"
Malawi,"17,881,167"
Malaysia,"31,975,806"
Maldives,"472,442"
Mali,"19,311,355"
Malta,"479,497"
Martinique,"377,452"
Mauritania,"4,160,015"
Mauritius,"1,294,741"
Mayotte,"271,565"
Mexico,"122,839,258"
Micronesia (Fed. States of),"110,431"
Monaco,"37,045"
Mongolia,"3,096,030"
Montenegro,"632,438"
Morocco,"35,528,115"
Mozambique,"28,569,441"
Myanmar,"52,288,341"
Namibia,"2,364,534"
Nepal,"28,183,426"
Netherlands,"17,207,198"
New Caledonia,"284,349"
New Zealand,"4,746,252"
Nicaragua,"6,480,532"
Niger,"21,737,922"
Nigeria,"193,495,907"
Norway,"5,277,393"
Oman,"4,541,854"
Pakistan,"216,379,655"
Panama,"4,096,063"
Papua New Guinea,"9,114,796"
Paraguay,"6,355,404"
Peru,"31,605,487"
Philippines,"106,738,502"
Poland,"38,532,812"
Portugal,"10,307,530"
Puerto Rico,"3,366,408"
Qatar,"2,711,755"
Republic of Korea,"51,511,639"
Republic of Moldova,"3,180,506"
Réunion,"932,739"
Romania,"19,698,853"
Russian Federation,"145,452,536"
Rwanda,"12,230,339"
Saint Lucia,"177,164"
Saint Vincent and the Grenadines,"105,549"
Samoa,"207,630"
Sao Tome and Principe,"208,037"
Saudi Arabia,"34,193,122"
Senegal,"15,157,793"
Serbia,"7,464,880"
Seychelles,"101,811"
Sierra Leone,"7,677,566"
Singapore,"5,764,487"
Slovakia,"5,439,417"
Slovenia,"2,098,392"
Solomon Islands,"643,634"
Somalia,"14,864,221"
South Africa,"56,641,210"
South Sudan,"10,658,226"
Spain,"46,584,170"
Sri Lanka,"21,506,813"
State of Palestine,"4,700,947"
Sudan,"40,679,828"
Suriname,"587,560"
Swaziland,"1,151,391"
Sweden,"10,058,190"
Switzerland,"8,451,687"
Syrian Arab Republic,"18,983,373"
Taiwan,"23,665,024"
Tajikistan,"8,925,525"
Tanzania,"56,267,032"
TFYR Macedonia,"2,111,979"
Thailand,"70,898,203"
Timor-Leste,"1,243,235"
Togo,"7,852,795"
Tonga,"105,415"
Trinidad and Tobago,"1,478,607"
Tunisia,"11,811,443"
Turkey,"82,089,827"
Turkmenistan,"5,968,383"
Uganda,"40,127,085"
Ukraine,"44,657,257"
United Arab Emirates,"9,068,296"
United Kingdom,"66,064,805"
United States of America,"329,791,231"
United States Virgin Islands,"101,851"
Uruguay,"3,422,201"
Uzbekistan,"31,945,682"
Vanuatu,"290,239"
Venezuela,"30,563,434"
Vietnam,"94,033,048"
Western Sahara,"518,859"
Yemen,"30,034,389"
Zambia,"17,298,054"
Zimbabwe,"14,751,101"
