FIPS,Volume
04003,6850631
04013,87711400
04019,1499339
04023,15807150
04027,11680865
06001,32172600
06025,31245994
06037,1036618200
06059,10612400
06067,9520200
06073,115626825
06081,554536600
06085,35913600
08031,110398200
11001,15970200
12011,301034400
12057,36928400
12071,15523000
12086,872581800
12095,243758400
13063,504992000
15003,197911800
17031,582770400
22051,7439000
23005,38803200
24003,45365000
25025,292391400
27053,124313000
29189,8625800
32003,152048000
34013,538050400
35013,2360275
35029,1432262
36081,1471210600
37119,129146200
37183,14086800
41051,32662800
42003,8453800
42101,151506200
47037,7275600
48029,16314200
48043,10965
48061,18301371
48141,44531645
48201,472974200
48215,22289214
48323,9806208
48377,2255459
48427,3981120
48439,349555600
48453,14078200
48465,5175016
48479,24041263
51107,321915200
53033,212136200
72031,35707200
