FIPS,MAL_FREQ_2016
04013,30
06001,17
06013,8
06037,25
06059,9
06067,8
06071,9
06073,12
06075,8
06085,9
08005,8
09003,8
10003,7
11001,25
12011,10
12031,6
12057,6
12086,14
12095,9
12099,6
13067,14
13089,18
13121,6
13135,7
17031,36
17043,10
17161,5
18097,5
20173,5
21111,6
23005,7
24003,9
24005,26
24025,5
24027,7
24031,55
24033,72
25009,11
25017,26
25021,7
25025,25
25027,17
26125,5
26161,5
26163,12
27003,8
27037,5
27053,32
27123,7
29095,6
29189,7
32003,6
33011,8
34013,26
34017,10
34021,10
34023,10
34035,5
36001,6
36005,111
36047,50
36055,8
36059,12
36061,35
36067,9
36081,35
36085,9
36103,9
36119,8
37081,14
37119,13
37183,7
39017,5
39035,6
39049,31
39113,5
41051,11
41067,5
42003,6
42045,11
42091,5
42101,24
44007,7
47037,12
48027,6
48085,6
48113,31
48121,7
48135,5
48157,9
48201,40
48439,24
50007,5
51059,27
51107,7
51153,10
51510,8
55079,5
