COUNTRY,POPULATION
Afghanistan,"38,972,231"
Albania,"2,866,849"
Algeria,"43,451,666"
Angola,"33,428,486"
Antigua and Barbuda,"92,664"
Argentina,"45,036,032"
Armenia,"2,805,609"
Aruba,"106,585"
Australia,"25,670,051"
Austria,"8,907,777"
Azerbaijan,"10,284,951"
Bahamas,"406,472"
Bahrain,"1,477,469"
Bangladesh,"167,420,951"
Barbados,"280,693"
Belarus,"9,633,741"
Belgium,"11,561,717"
Belize,"394,921"
Benin,"12,643,123"
Bhutan,"772,506"
Bolivia,"11,936,162"
Bosnia and Herzegovina,"3,318,408"
Botswana,"2,546,402"
Brazil,"213,196,304"
Brunei Darussalam,"441,725"
Bulgaria,"6,979,175"
Burkina Faso,"21,522,626"
Burundi,"12,220,227"
Cabo Verde,"582,640"
Cambodia,"16,396,861"
Cameroon,"26,491,087"
Canada,"37,888,705"
Central African Republic,"5,343,020"
Chad,"16,644,702"
Chile,"19,300,315"
China,"1,424,929,781"
"China, Hong Kong SAR","7,500,958"
"China, Macao SAR","676,283"
Colombia,"50,930,663"
Comoros,"806,166"
Congo,"5,702,174"
Costa Rica,"5,123,105"
Ivory Coast,"26,811,791"
Croatia,"4,096,870"
Cuba,"11,300,698"
Curaçao,"189,289"
Cyprus,"1,237,537"
Czech Republic,"10,530,954"
DR Congo,"92,853,165"
South Korea,"25,867,467"
Denmark,"5,825,641"
Djibouti,"1,090,156"
Dominican Republic,"10,999,664"
Ecuador,"17,588,596"
Egypt,"107,465,134"
El Salvador,"6,292,731"
Equatorial Guinea,"1,596,049"
Eritrea,"3,555,868"
Estonia,"1,329,444"
Ethiopia,"117,190,911"
Fiji,"920,422"
Finland,"5,529,468"
France,"64,480,053"
French Guiana,"290,970"
French Polynesia,"301,920"
Gabon,"2,292,573"
Gambia,"2,573,995"
Georgia,"3,765,912"
Germany,"83,328,988"
Ghana,"32,180,402"
Greece,"10,512,232"
Grenada,"123,663"
Guadeloupe,"395,642"
Guam,"169,231"
Guatemala,"17,362,719"
Guinea,"13,205,153"
Guinea-Bissau,"2,015,828"
Guyana,"797,202"
Haiti,"11,306,802"
Honduras,"10,121,763"
Hungary,"9,750,573"
Iceland,"366,669"
India,"1,396,387,127"
Indonesia,"271,857,971"
Iran,"87,290,193"
Iraq,"42,556,984"
Ireland,"4,946,119"
Israel,"8,757,490"
Italy,"59,500,579"
Jamaica,"2,820,436"
Japan,"125,244,761"
Jordan,"10,928,721"
Kazakhstan,"18,979,243"
Kenya,"51,985,780"
Kiribati,"126,464"
Kuwait,"4,360,445"
Kyrgyzstan,"6,424,874"
Laos,"7,319,399"
Latvia,"1,897,052"
Lebanon,"5,662,924"
Lesotho,"2,254,100"
Liberia,"5,087,585"
Libya,"6,653,942"
Lithuania,"2,820,267"
Luxembourg,"630,400"
Madagascar,"28,225,177"
Malawi,"19,377,062"
Malaysia,"33,199,993"
Maldives,"514,438"
Mali,"21,224,040"
Malta,"515,358"
Martinique,"370,391"
Mauritania,"4,498,604"
Mauritius,"1,297,828"
Mayotte,"305,587"
Mexico,"125,998,302"
Micronesia (Fed. States of),"112,107"
Monaco,"36,922"
Mongolia,"3,294,335"
Montenegro,"629,048"
Morocco,"36,688,772"
Mozambique,"31,178,239"
Myanmar,"53,423,198"
Namibia,"2,489,098"
Nepal,"29,348,628"
Netherlands,"17,434,558"
New Caledonia,"286,403"
New Zealand,"5,061,134"
Nicaragua,"6,755,896"
Niger,"24,333,639"
Nigeria,"208,327,405"
Norway,"5,379,839"
Oman,"4,543,399"
Pakistan,"227,196,741"
Panama,"4,294,397"
Papua New Guinea,"9,749,640"
Paraguay,"6,618,695"
Peru,"33,304,756"
Philippines,"112,190,978"
Poland,"38,428,367"
Portugal,"10,298,192"
Puerto Rico,"3,271,565"
Qatar,"2,760,385"
Republic of Korea,"51,844,691"
Republic of Moldova,"3,084,847"
Réunion,"957,823"
Romania,"19,442,039"
Russian Federation,"145,617,329"
Rwanda,"13,146,362"
Saint Lucia,"179,237"
Saint Vincent and the Grenadines,"104,633"
Samoa,"214,930"
Sao Tome and Principe,"218,641"
Saudi Arabia,"35,997,107"
Senegal,"16,436,120"
Serbia,"7,358,005"
Seychelles,"105,530"
Sierra Leone,"8,233,971"
Singapore,"5,909,870"
Slovakia,"5,456,681"
Slovenia,"2,117,641"
Solomon Islands,"691,191"
Somalia,"16,537,016"
South Africa,"58,801,927"
South Sudan,"10,606,227"
Spain,"47,363,807"
Sri Lanka,"21,715,080"
State of Palestine,"5,019,402"
Sudan,"44,440,486"
Suriname,"607,065"
Swaziland,"1,180,655"
Sweden,"10,368,970"
Switzerland,"8,638,613"
Syrian Arab Republic,"20,772,596"
Taiwan,"23,821,465"
Tajikistan,"9,543,207"
Tanzania,"61,704,518"
TFYR Macedonia,"2,111,072"
Thailand,"71,475,665"
Timor-Leste,"1,299,995"
Togo,"8,442,580"
Tonga,"105,254"
Trinidad and Tobago,"1,518,147"
Tunisia,"12,161,723"
Turkey,"84,135,428"
Turkmenistan,"6,250,438"
Uganda,"44,404,611"
Ukraine,"43,909,667"
United Arab Emirates,"9,287,289"
United Kingdom,"67,059,474"
United States of America,"335,942,004"
United States Virgin Islands,"100,443"
Uruguay,"3,429,087"
Uzbekistan,"33,526,657"
Vanuatu,"311,685"
Venezuela,"28,490,454"
Vietnam,"96,648,685"
Western Sahara,"556,048"
Yemen,"32,284,046"
Zambia,"18,927,715"
Zimbabwe,"15,669,666"
